070.001	ES070MSBT000000001
070.002	ES070MSBT000000002
070.003	ES070MSBT000000003
070.004	ES070MSBT000000004
070.005	ES070MSBT000000005
070.006	ES070MSBT000000006
070.007	ES070MSBT000000007
070.008	ES070MSBT000000008
070.009	ES070MSBT000000009
070.010	ES070MSBT000000010
070.011	ES070MSBT000000011
070.012	ES070MSBT000000012
070.013	ES070MSBT000000013
070.014	ES070MSBT000000014
070.015	ES070MSBT000000015
070.016	ES070MSBT000000016
070.018	ES070MSBT000000018
070.019	ES070MSBT000000019
070.020	ES070MSBT000000020
070.021	ES070MSBT000000021
070.022	ES070MSBT000000022
070.023	ES070MSBT000000023
070.024	ES070MSBT000000024
070.025	ES070MSBT000000025
070.026	ES070MSBT000000026
070.027	ES070MSBT000000027
070.028	ES070MSBT000000028
070.029	ES070MSBT000000029
070.030	ES070MSBT000000030
070.031	ES070MSBT000000031
070.032	ES070MSBT000000032
070.033	ES070MSBT000000033
070.034	ES070MSBT000000034
070.035	ES070MSBT000000035
070.036	ES070MSBT000000036
070.037	ES070MSBT000000037
070.038	ES070MSBT000000038
070.039	ES070MSBT000000039
070.040	ES070MSBT000000040
070.041	ES070MSBT000000041
070.042	ES070MSBT000000042
070.043	ES070MSBT000000043
070.044	ES070MSBT000000044
070.045	ES070MSBT000000045
070.046	ES070MSBT000000046
070.047	ES070MSBT000000047
070.048	ES070MSBT000000048
070.049	ES070MSBT000000049
070.050	ES070MSBT000000050
070.051	ES070MSBT000000051
070.052	ES070MSBT000000052
070.053	ES070MSBT000000053
070.054	ES070MSBT000000054
070.055	ES070MSBT000000055
070.056	ES070MSBT000000056
070.057	ES070MSBT000000057
070.058	ES070MSBT000000058
070.059	ES070MSBT000000059
070.060	ES070MSBT000000060
070.061	ES070MSBT000000061
070.062	ES070MSBT000000062
070.063	ES070MSBT000000063
070.017	ES070MSBT000000017
\.


